€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
€179,000 	 15 Riverside, Distillery Road, Westport, Co Mayo
€179,000 	 Townalough, Claremorris, Mayo
€279,500 	 16 Clydagh Park, Turlough Road, Castlebar, Mayo
€115,000 	 18 Father Mulhern Crescent, Belmullet, Mayo
€40,000 	 Circa 0.50 acre site at Kilbeg, Claremorris, Mayo
€119,000 	 No 5 Knocksville Manor, Charlestown, Co. Mayo
€29,000 	 Cartron, Killasser, Swinford, Co. Mayo
€75,000 	 Station Road , Swinford, Mayo
€122,000  -€3,000 on 22nd Oct 19 	 Riverside Drive, Quay Road, Ballina, Co Mayo, F26 X3W6
€160,000 	 Rathnaconeen, Rehins, Ballina, Mayo
€195,000 	 Faulmore, Blacksod, Belmullet, Mayo
€179,500 	 66 Bruach Na Habhainn, Westport, Mayo
€160,000 	 12 Parklands , Westport, Mayo
AMV €50,000 	 Buckwaria, Westport, Mayo
€230,000 	 Sheeroe, Westport, Mayo
€125,000 	 35 Hazel Hill Downs, Ballyhaunis, Co. Mayo
€89,000 	 19 Church View, Swinford, Co. Mayo
AMV €56,000 	 Georges Street, Newport, Mayo
AMV €125,000 	 Tawnameeltoge, Cuilmore, Newport, Mayo
€265,000 	 Bushfield, Charlestown, Co. Mayo
